mileage,reg_code,standard_colour,standard_make,standard_model,vehicle_condition,year_of_registration,price,body_type,crossover_car_and_van,fuel_type,advert_year,vehicle_age,avg_miles_per_year
14554,66,SILVER,MERCEDES-BENZ,ECLASS,USED,2016,19799,SALOON,0,DIESEL,2020,4,3638
110000,58,SILVER,MITSUBISHI,GRANDIS,USED,2009,3895,MPV,0,PETROL,2020,11,10000
36974,14,RED,RENAULT,CLIO,USED,2014,6295,HATCHBACK,0,PETROL,2020,6,6162
62407,65,WHITE,BMW,3SERIES,USED,2015,17630,SALOON,0,DIESEL,2020,5,12481
17297,67,WHITE,BMW,1SERIES,USED,2017,16450,HATCHBACK,0,DIESEL,2020,3,5765
3000,19,BLUE,PEUGEOT,308SW,USED,2019,15045,ESTATE,0,DIESEL,2020,1,3000
7426,65,SILVER,JAGUAR,XE,USED,2015,14550,SALOON,0,PETROL,2020,5,1485
66117,63,BLACK,SKODA,YETI,USED,2014,8295,SUV,0,PETROL,2020,6,11019
17143,67,BLACK,CITROEN,C3,USED,2017,8700,HATCHBACK,0,PETROL,2020,3,5714
52351,12,SILVER,TOYOTA,PRIUS,USED,2012,10795,HATCHBACK,0,PETROLPLUG-INHYBRID,2020,8,6543
1190,20,BLUE,SEAT,IBIZA,USED,2020,14990,HATCHBACK,0,PETROL,2020,0,1190
15550,18,GREY,TOYOTA,AYGO,USED,2018,9800,HATCHBACK,0,PETROL,2020,2,7775
592,68,RED,CITROEN,C1,USED,2019,10495,HATCHBACK,0,PETROL,2020,1,592
30983,17,BLACK,AUDI,A5,USED,2017,17998,COUPE,0,DIESEL,2020,3,10327
10,20,WHITE,VOLKSWAGEN,TIGUAN,NEW,2020,39505,SUV,0,DIESEL,2020,0,10
45000,17,RED,LANDROVER,DISCOVERYSPORT,USED,2017,19999,SUV,0,DIESEL,2020,3,15000
103000,15,GREY,VAUXHALL,INSIGNIA,USED,2015,5190,HATCHBACK,0,DIESEL,2020,5,20600
26522,66,BLUE,AUDI,A3,USED,2017,16250,HATCHBACK,0,PETROL,2020,3,8840
32281,13,SILVER,BMW,1SERIES,USED,2013,9989,HATCHBACK,0,DIESEL,2020,7,4611
50297,65,WHITE,VAUXHALL,ASTRA,USED,2015,5795,HATCHBACK,0,PETROL,2020,5,10059
46547,64,WHITE,MERCEDES-BENZ,ECLASS,USED,2014,14999,CONVERTIBLE,0,DIESEL,2020,6,7757
76000,11,SILVER,HYUNDAI,IX35,USED,2011,6495,SUV,0,DIESEL,2020,9,8444
79281,09,BLUE,TOYOTA,AURIS,USED,2009,2500,HATCHBACK,0,PETROL,2020,11,7207
25519,66,BLUE,BMW,4SERIESGRANCOUPE,USED,2016,13750,SALOON,0,DIESEL,2020,4,6379
102000,11,BLUE,SUBARU,OUTBACK,USED,2011,6495,ESTATE,0,DIESEL,2020,9,11333
4866,67,RED,CITROEN,BERLINGO,USED,2018,11995,MPV,0,PETROL,2020,2,2433
46000,61,WHITE,BMW,X1,USED,2011,9149,SUV,0,DIESEL,2020,9,5111
63517,53,BLUE,VAUXHALL,ASTRA,USED,2003,1495,HATCHBACK,0,PETROL,2020,17,3736
32000,67,BLACK,AUDI,A5,USED,2017,22450,HATCHBACK,0,DIESEL,2020,3,10666
104081,64,BLACK,MERCEDES-BENZ,ECLASS,USED,2014,11300,COUPE,0,DIESEL,2020,6,17346
115000,57,BLACK,HONDA,CIVIC,USED,2007,2222,HATCHBACK,0,PETROL,2020,13,8846
26000,67,GREEN,MERCEDES-BENZ,GLACLASS,USED,2017,32194,SUV,0,PETROL,2020,3,8666
129000,11,SILVER,BMW,7SERIES,USED,2011,7495,SALOON,0,DIESEL,2020,9,14333
35887,65,BROWN,VAUXHALL,ZAFIRATOURER,USED,2016,8799,MPV,0,PETROL,2020,4,8971
15000,18,WHITE,BMW,I3,USED,2018,21450,HATCHBACK,0,PETROLHYBRID,2020,2,7500
28080,66,GREEN,MINI,HATCH,USED,2016,9999,HATCHBACK,0,PETROL,2020,4,7020
10,20,BLUE,CITROEN,C1,NEW,2020,11990,HATCHBACK,0,PETROL,2019,0,10
41500,16,GREY,AUDI,TTS,USED,2016,21995,COUPE,0,PETROL,2020,4,10375
20000,18,BLACK,VOLKSWAGEN,SHARAN,USED,2018,18250,MPV,0,DIESEL,2020,2,10000
89795,09,BLACK,BMW,1SERIES,USED,2009,3995,HATCHBACK,0,PETROL,2020,11,8163
0,20,GREY,CITROEN,BERLINGO,NEW,2020,18610,MPV,0,DIESEL,2020,0,0
22304,67,GREEN,VAUXHALL,CORSA,USED,2017,8051,HATCHBACK,0,PETROL,2020,3,7434
6158,19,WHITE,SKODA,FABIA,USED,2019,9995,HATCHBACK,0,PETROL,2020,1,6158
16880,67,BLACK,MAZDA,CX-5,USED,2017,21495,SUV,0,DIESEL,2020,3,5626
10,20,WHITE,MITSUBISHI,OUTLANDER,NEW,2020,30384,SUV,0,PETROL,2019,0,10
75000,09,BLACK,PEUGEOT,308,USED,2009,2500,HATCHBACK,0,PETROL,2020,11,6818
26739,65,BLACK,RENAULT,KADJAR,USED,2015,12000,SUV,0,DIESEL,2020,5,5347
116000,16,BLACK,SKODA,OCTAVIA,USED,2016,6792,ESTATE,0,DIESEL,2020,4,29000
68311,64,BLACK,AUDI,A6SALOON,USED,2014,14000,SALOON,0,DIESEL,2020,6,11385
42777,62,BLUE,PEUGEOT,PARTNERTEPEE,USED,2012,4750,MPV,0,DIESEL,2020,8,5347
57000,64,BLACK,SKODA,CITIGO,USED,2015,4749,HATCHBACK,0,PETROL,2020,5,11400
58000,66,GREY,MERCEDES-BENZ,GLACLASS,USED,2016,18000,SUV,0,DIESEL,2020,4,14500
101000,55,SILVER,VOLKSWAGEN,GOLF,USED,2005,1544,HATCHBACK,0,PETROL,2019,14,7214
22000,68,GREY,VOLKSWAGEN,SHARAN,USED,2019,21995,MPV,0,PETROL,2020,1,22000
116780,56,BLACK,HONDA,CR-V,USED,2006,3700,SUV,0,PETROL,2020,14,8341
25602,64,WHITE,AUDI,A3,USED,2014,15900,SALOON,0,DIESEL,2020,6,4267
4184,69,GREY,FIAT,500,USED,2020,9299,HATCHBACK,0,PETROL,2020,0,4184
34244,67,RED,PEUGEOT,108,USED,2017,7000,HATCHBACK,0,PETROL,2020,3,11414
0,20,BLACK,BMW,5SERIES,NEW,2020,50430,SALOON,0,DIESEL,2020,0,0
22336,66,BLACK,AUDI,A3,USED,2016,18490,HATCHBACK,0,PETROL,2020,4,5584
23534,F,WHITE,HONDA,CIVIC,USED,1988,14999,COUPE,0,PETROL,2019,31,759
7844,69,BLACK,MERCEDES-BENZ,ACLASS,USED,2019,20980,HATCHBACK,0,DIESEL,2020,1,7844
52934,14,WHITE,MERCEDES-BENZ,ACLASS,USED,2014,10625,HATCHBACK,0,DIESEL,2020,6,8822
55940,65,SILVER,BMW,5SERIES,USED,2015,14295,SALOON,0,DIESEL,2020,5,11188
14647,67,RED,JAGUAR,XF,USED,2017,19991,SALOON,0,DIESEL,2020,3,4882
15642,67,BLUE,BMW,X1,USED,2017,23995,SUV,0,PETROL,2020,3,5214
53256,15,RED,SEAT,IBIZA,USED,2015,6490,HATCHBACK,0,PETROL,2020,5,10651
11123,67,SILVER,KIA,CARENS,USED,2018,15795,MPV,0,DIESEL,2020,2,5561
81611,61,BEIGE,HONDA,JAZZ,USED,2011,3499,HATCHBACK,0,PETROL,2020,9,9067
11745,17,WHITE,SEAT,IBIZA,USED,2017,9300,HATCHBACK,0,DIESEL,2020,3,3915
20424,14,GREY,SKODA,SUPERB,USED,2014,9995,HATCHBACK,0,DIESEL,2020,6,3404
73000,61,RED,CITROEN,NEMOMULTISPACE,USED,2011,3095,MPV,0,DIESEL,2020,9,8111
25139,16,WHITE,LANDROVER,RANGEROVEREVOQUE,USED,2016,20090,SUV,0,DIESEL,2020,4,6284
19011,17,RED,AUDI,A1,USED,2017,14500,HATCHBACK,0,PETROL,2020,3,6337
92410,13,WHITE,NISSAN,QASHQAI,USED,2013,5995,SUV,0,DIESEL,2020,7,13201
22775,67,SILVER,AUDI,Q2,USED,2018,17350,SUV,0,PETROL,2020,2,11387
70238,15,SILVER,AUDI,A4,USED,2015,9000,SALOON,0,DIESEL,2020,5,14047
48727,65,BLACK,VOLKSWAGEN,GOLF,USED,2015,10400,HATCHBACK,0,PETROL,2020,5,9745
13450,66,GREY,CITROEN,C1,USED,2016,4200,HATCHBACK,0,PETROL,2020,4,3362
38212,63,BLUE,NISSAN,JUKE,USED,2013,7499,SUV,0,PETROL,2020,7,5458
60172,15,BLACK,JAGUAR,XF,USED,2015,14480,SALOON,0,DIESEL,2020,5,12034
5,70,WHITE,PEUGEOT,508,USED,2020,24995,HATCHBACK,0,DIESEL,2020,0,5
40948,17,BLUE,BMW,1SERIES,USED,2017,11000,HATCHBACK,0,DIESEL,2020,3,13649
28897,66,BLACK,AUDI,A1,USED,2017,10750,HATCHBACK,0,PETROL,2020,3,9632
71227,13,BLUE,PEUGEOT,3008,USED,2013,5850,SUV,0,DIESEL,2020,7,10175
23300,17,WHITE,BMW,3SERIES,USED,2017,19491,SALOON,0,PETROL,2020,3,7766
0,20,GREY,ABARTH,595C,NEW,2020,15893,CONVERTIBLE,0,PETROL,2020,0,0
83152,61,SILVER,MERCEDES-BENZ,ECLASS,USED,2011,10995,ESTATE,0,DIESEL,2020,9,9239
66233,67,BLACK,TOYOTA,AURIS,USED,2017,9775,HATCHBACK,0,PETROLHYBRID,2020,3,22077
72000,07,BLACK,TOYOTA,PRIUS,USED,2007,3950,HATCHBACK,0,PETROLHYBRID,2020,13,5538
60544,12,SILVER,MERCEDES-BENZ,CCLASS,USED,2012,8695,SALOON,0,DIESEL,2020,8,7568
